country,iso3,region
"Afghanistan","AFG","Southern Asia"
"Albania","ALB","Southern Europe"
"Algeria","DZA","Northern Africa"
"American Samoa","ASM","Polynesia"
"Andorra","AND","Southern Europe"
"Angola","AGO","Middle Africa"
"Anguilla","AIA","Caribbean"
"Antarctica","ATA","Antarctica"
"Antigua and Barbuda","ATG","Caribbean"
"Argentina","ARG","South America"
"Armenia","ARM","Western Asia"
"Aruba","ABW","Caribbean"
"Australia","AUS","Australia and New Zealand"
"Austria","AUT","Western Europe"
"Azerbaijan","AZE","Western Asia"
"Bahamas","BHS","Caribbean"
"Bahrain","BHR","Western Asia"
"Bangladesh","BGD","Southern Asia"
"Barbados","BRB","Caribbean"
"Belarus","BLR","Eastern Europe"
"Belgium","BEL","Western Europe"
"Belize","BLZ","Central America"
"Benin","BEN","Western Africa"
"Bermuda","BMU","North America"
"Bhutan","BTN","Southern Asia"
"Bolivia","BOL","South America"
"Bonaire, Sint Eustatius, and Saba","BES","Caribbean"
"Bosnia and Herzegovina","BIH","Southern Europe"
"Botswana","BWA","Southern Africa"
"Bouvet Island","BVT","South America"
"Brazil","BRA","South America"
"British Indian Ocean Territory","IOT","Eastern Africa"
"Brunei Darussalam","BRN","South-Eastern Asia"
"Bulgaria","BGR","Eastern Europe"
"Burkina Faso","BFA","Western Africa"
"Burundi","BDI","Eastern Africa"
"Cabo Verde","CPV","Western Africa"
"Cambodia","KHM","South-Eastern Asia"
"Cameroon","CMR","Middle Africa"
"Canada","CAN","North America"
"Cayman Islands","CYM","Caribbean"
"Central African Republic","CAF","Middle Africa"
"Chad","TCD","Middle Africa"
"Chile","CHL","South America"
"China","CHN","Eastern Asia"
"Christmas Island","CXR","Australia and New Zealand"
"Cocos (Keeling) Islands","CCK","Australia and New Zealand"
"Colombia","COL","South America"
"Comoros","COM","Eastern Africa"
"Democratic Republic of the Congo","COD","Middle Africa"
"Congo","COG","Middle Africa"
"Cook Islands","COK","Polynesia"
"Costa Rica","CRI","Central America"
"Croatia","HRV","Southern Europe"
"Cuba","CUB","Caribbean"
"Curaçao","CUW","Caribbean"
"Cyprus","CYP","Southern Europe"
"Czechia","CZE","Eastern Europe"
"Côte d'Ivoire","CIV","Western Africa"
"Denmark","DNK","Northern Europe"
"Djibouti","DJI","Eastern Africa"
"Dominica","DMA","Caribbean"
"Dominican Republic","DOM","Caribbean"
"Ecuador","ECU","South America"
"Egypt","EGY","Northern Africa"
"El Salvador","SLV","Central America"
"Equatorial Guinea","GNQ","Middle Africa"
"Eritrea","ERI","Eastern Africa"
"Estonia","EST","Northern Europe"
"Eswatini","SWZ","Southern Africa"
"Ethiopia","ETH","Eastern Africa"
"Falkland Islands","FLK","South America"
"Faroe Islands","FRO","Northern Europe"
"Fiji","FJI","Melanesia"
"Finland","FIN","Northern Europe"
"France","FRA","Western Europe"
"French Guiana","GUF","South America"
"French Polynesia","PYF","Polynesia"
"French Southern Territories","ATF","Eastern Africa"
"Gabon","GAB","Middle Africa"
"Gambia","GMB","Western Africa"
"Georgia","GEO","Western Asia"
"Germany","DEU","Western Europe"
"Ghana","GHA","Western Africa"
"Gibraltar","GIB","Southern Europe"
"Greece","GRC","Southern Europe"
"Greenland","GRL","North America"
"Grenada","GRD","Caribbean"
"Guadeloupe","GLP","Caribbean"
"Guam","GUM","Micronesia"
"Guatemala","GTM","Central America"
"Guernsey","GGY","Channel Islands"
"Guinea","GIN","Western Africa"
"Guinea-Bissau","GNB","Western Africa"
"Guyana","GUY","South America"
"Haiti","HTI","Caribbean"
"Heard Island and McDonald Islands","HMD","Australia and New Zealand"
"Holy See","VAT","Southern Europe"
"Honduras","HND","Central America"
"Hong Kong","HKG","Eastern Asia"
"Hungary","HUN","Eastern Europe"
"Iceland","ISL","Northern Europe"
"India","IND","Southern Asia"
"Indonesia","IDN","South-Eastern Asia"
"Iran","IRN","Southern Asia"
"Iraq","IRQ","Western Asia"
"Ireland","IRL","Northern Europe"
"Isle of Man","IMN","Northern Europe"
"Israel","ISR","Western Asia"
"Italy","ITA","Southern Europe"
"Jamaica","JAM","Caribbean"
"Japan","JPN","Eastern Asia"
"Jersey","JEY","Channel Islands"
"Jordan","JOR","Western Asia"
"Kazakhstan","KAZ","Central Asia"
"Kenya","KEN","Eastern Africa"
"Kiribati","KIR","Micronesia"
"North Korea","PRK","Eastern Asia"
"South Korea","KOR","Eastern Asia"
"Kosovo","KOS","Southern Europe"
"Kuwait","KWT","Western Asia"
"Kyrgyzstan","KGZ","Central Asia"
"Lao People's Democratic Republic","LAO","South-Eastern Asia"
"Latvia","LVA","Northern Europe"
"Lebanon","LBN","Western Asia"
"Lesotho","LSO","Southern Africa"
"Liberia","LBR","Western Africa"
"Libya","LBY","Northern Africa"
"Liechtenstein","LIE","Western Europe"
"Lithuania","LTU","Northern Europe"
"Luxembourg","LUX","Western Europe"
"Macao","MAC","Eastern Asia"
"Madagascar","MDG","Eastern Africa"
"Malawi","MWI","Eastern Africa"
"Malaysia","MYS","South-Eastern Asia"
"Maldives","MDV","Southern Asia"
"Mali","MLI","Western Africa"
"Malta","MLT","Southern Europe"
"Marshall Islands","MHL","Micronesia"
"Martinique","MTQ","Caribbean"
"Mauritania","MRT","Western Africa"
"Mauritius","MUS","Eastern Africa"
"Mayotte","MYT","Eastern Africa"
"Mexico","MEX","Central America"
"Micronesia","FSM","Micronesia"
"Moldova","MDA","Eastern Europe"
"Monaco","MCO","Western Europe"
"Mongolia","MNG","Eastern Asia"
"Montenegro","MNE","Southern Europe"
"Montserrat","MSR","Caribbean"
"Morocco","MAR","Northern Africa"
"Mozambique","MOZ","Eastern Africa"
"Myanmar","MMR","South-Eastern Asia"
"Namibia","NAM","Southern Africa"
"Nauru","NRU","Micronesia"
"Nepal","NPL","Southern Asia"
"Netherlands","NLD","Western Europe"
"Netherlands Antilles","ANT","Caribbean"
"New Caledonia","NCL","Melanesia"
"New Zealand","NZL","Australia and New Zealand"
"Nicaragua","NIC","Central America"
"Niger","NER","Western Africa"
"Nigeria","NGA","Western Africa"
"Niue","NIU","Polynesia"
"Norfolk Island","NFK","Australia and New Zealand"
"North Macedonia","MKD","Southern Europe"
"Northern Mariana Islands","MNP","Micronesia"
"Norway","NOR","Northern Europe"
"Oman","OMN","Western Asia"
"Pakistan","PAK","Southern Asia"
"Palau","PLW","Micronesia"
"Palestine","PSE","Western Asia"
"Panama","PAN","Central America"
"Papua New Guinea","PNG","Melanesia"
"Paraguay","PRY","South America"
"Peru","PER","South America"
"Philippines","PHL","South-Eastern Asia"
"Pitcairn","PCN","Polynesia"
"Poland","POL","Eastern Europe"
"Portugal","PRT","Southern Europe"
"Puerto Rico","PRI","Caribbean"
"Qatar","QAT","Western Asia"
"Romania","ROU","Eastern Europe"
"Russian Federation","RUS","Eastern Europe"
"Rwanda","RWA","Eastern Africa"
"Réunion","REU","Eastern Africa"
"Saint Barthélemy","BLM","Caribbean"
"Saint Helena, Ascension and Tristan da Cunha","SHN","Western Africa"
"Saint Kitts and Nevis","KNA","Caribbean"
"Saint Lucia","LCA","Caribbean"
"Saint Martin (French part)","MAF","Caribbean"
"Saint Pierre and Miquelon","SPM","North America"
"Saint Vincent and the Grenadines","VCT","Caribbean"
"Samoa","WSM","Polynesia"
"San Marino","SMR","Southern Europe"
"Sao Tome and Principe","STP","Middle Africa"
"Saudi Arabia","SAU","Western Asia"
"Senegal","SEN","Western Africa"
"Serbia","SRB","Southern Europe"
"Seychelles","SYC","Eastern Africa"
"Sierra Leone","SLE","Western Africa"
"Singapore","SGP","South-Eastern Africa"
"Sint Maarten (Dutch part)","SXM","Caribbean"
"Slovakia","SVK","Eastern Europe"
"Slovenia","SVN","Southern Europe"
"Solomon Islands","SLB","Melanesia"
"Somalia","SOM","Eastern Africa"
"South Africa","ZAF","Southern Africa"
"South Georgia and the South Sandwich Islands","SGS","South America"
"South Sudan","SSD","Eastern Africa"
"Spain","ESP","Southern Europe"
"Sri Lanka","LKA","Southern Asia"
"Sudan","SDN","Northern Africa"
"Suriname","SUR","South America"
"Svalbard and Jan Mayen","SJM","Northern Europe"
"Sweden","SWE","Northern Europe"
"Switzerland","CHE","Western Europe"
"Syrian Arab Republic","SYR","Western Asia"
"Taiwan","TWN","Eastern Asia"
"Tajikistan","TJK","Central Asia"
"Tanzania","TZA","Eastern Africa"
"Thailand","THA","South-Eastern Asia"
"Timor-Leste","TLS","South-Eastern Asia"
"Togo","TGO","Western Africa"
"Tokelau","TKL","Polynesia"
"Tonga","TON","Polynesia"
"Trinidad and Tobago","TTO","Caribbean"
"Tunisia","TUN","Northern Africa"
"Turkmenistan","TKM","Central Asia"
"Turks and Caicos Islands","TCA","Caribbean"
"Tuvalu","TUV","Polynesia"
"Türkiye","TUR","Western Asia"
"Uganda","UGA","Eastern Africa"
"Ukraine","UKR","Eastern Europe"
"United Arab Emirates","ARE","Western Asia"
"United Kingdom of Great Britain and Northern Ireland","GBR","Northern Europe"
"United States Minor Outlying Islands","UMI","Micronesia"
"United States of America","USA","North America"
"Uruguay","URY","South America"
"Uzbekistan","UZB","Central Asia"
"Vanuatu","VUT","Melanesia"
"Venezuela","VEN","South America"
"Viet Nam","VNM","South-Eastern Asia"
"British Virgin Islands","VGB","Caribbean"
"U.S. Virgin Islands","VIR","Caribbean"
"Wallis and Futuna","WLF","Polynesia"
"Western Sahara","ESH","Northern Africa"
"Yemen","YEM","Western Asia"
"Zambia","ZMB","Eastern Africa"
"Zimbabwe","ZWE","Eastern Africa"
"Åland Islands","ALA","Northern Europe"
